Date,Account,Description,Debit_FC,Credit_FC,Balance_FC,Debit_ZAR,Credit_ZAR,Balance_ZAR,Category,Reference,Currency,FX_to_ZAR_at_Txn,Latitude,Longitude,Counterparty
2025-01-01,CPT02,POS Settlement,0.0,62498.55,62498.55,0.0,62498.55,62498.55,Sales,DEP116704267,ZAR,1.0,-33.9249,18.4241,Zapper
2025-01-01,CPT02,Ecommerce Payout,0.0,24113.02,86611.57,0.0,24113.02,86611.57,Sales,DEP128019658,ZAR,1.0,-33.9249,18.4241,Yoco
2025-01-01,CPT02,Ecommerce Payout,0.0,21432.82,108044.39000000001,0.0,21432.82,108044.39000000001,Sales,DEP171492415,ZAR,1.0,-33.9249,18.4241,FNB POS
2025-01-01,CPT02,POS Settlement,0.0,6363.04,114407.43000000001,0.0,6363.04,114407.43000000001,Sales,DEP182263121,ZAR,1.0,-33.9249,18.4241,Yoco
2025-01-01,CPT02,Ecommerce Payout,0.0,2456.43,116863.86,0.0,2456.43,116863.86,Sales,DEP182704318,ZAR,1.0,-33.9249,18.4241,Yoco
2025-01-01,CPT02,POS Settlement,0.0,5031.89,121895.75,0.0,5031.89,121895.75,Sales,DEP186589727,ZAR,1.0,-33.9249,18.4241,Yoco
2025-01-01,CPT02,POS Settlement,0.0,56205.01,178100.76,0.0,56205.01,178100.76,Sales,DEP188980476,ZAR,1.0,-33.9249,18.4241,PayFast
2025-01-01,CPT02,Ecommerce Payout,0.0,4837.0,182937.76,0.0,4837.0,182937.76,Sales,DEP197636729,ZAR,1.0,-33.9249,18.4241,FNB POS
2025-01-01,CPT02,Ecommerce Payout,0.0,23644.68,206582.44,0.0,23644.68,206582.44,Sales,DEP200172536,ZAR,1.0,-33.9249,18.4241,Ozow
2025-01-01,CPT02,POS Settlement,0.0,18365.41,224947.85,0.0,18365.41,224947.85,Sales,DEP211178799,ZAR,1.0,-33.9249,18.4241,Yoco
2025-01-01,CPT02,POS Settlement,0.0,554.85,225502.7,0.0,554.85,225502.7,Sales,DEP228041364,ZAR,1.0,-33.9249,18.4241,FNB POS
2025-01-01,CPT02,Ecommerce Payout,0.0,7767.11,233269.81,0.0,7767.11,233269.81,Sales,DEP238509557,ZAR,1.0,-33.9249,18.4241,Ozow
2025-01-01,CPT02,POS Settlement,0.0,9475.72,242745.53,0.0,9475.72,242745.53,Sales,DEP241085108,ZAR,1.0,-33.9249,18.4241,FNB POS
2025-01-01,CPT02,POS Settlement,0.0,11096.0,253841.53,0.0,11096.0,253841.53,Sales,DEP245051056,ZAR,1.0,-33.9249,18.4241,Yoco
2025-01-01,CPT02,Ecommerce Payout,0.0,20652.47,274494.0,0.0,20652.47,274494.0,Sales,DEP274489093,ZAR,1.0,-33.9249,18.4241,Yoco
2025-01-01,CPT02,POS Settlement,0.0,4515.8,279009.8,0.0,4515.8,279009.8,Sales,DEP304924035,ZAR,1.0,-33.9249,18.4241,Ozow
2025-01-01,CPT02,POS Settlement,0.0,12621.97,291631.76999999996,0.0,12621.97,291631.76999999996,Sales,DEP313862379,ZAR,1.0,-33.9249,18.4241,FNB POS
2025-01-01,CPT02,POS Settlement,0.0,22238.11,313869.87999999995,0.0,22238.11,313869.87999999995,Sales,DEP351182490,ZAR,1.0,-33.9249,18.4241,PayFast
2025-01-01,CPT02,POS Settlement,0.0,3751.74,317621.61999999994,0.0,3751.74,317621.61999999994,Sales,DEP352486513,ZAR,1.0,-33.9249,18.4241,Ozow
2025-01-01,CPT02,POS Settlement,0.0,20703.92,338325.5399999999,0.0,20703.92,338325.5399999999,Sales,DEP369436445,ZAR,1.0,-33.9249,18.4241,FNB POS
2025-01-01,CPT02,POS Settlement,0.0,11936.73,350262.2699999999,0.0,11936.73,350262.2699999999,Sales,DEP378374822,ZAR,1.0,-33.9249,18.4241,Ozow
2025-01-01,CPT02,Ecommerce Payout,0.0,1394.94,351657.2099999999,0.0,1394.94,351657.2099999999,Sales,DEP425848949,ZAR,1.0,-33.9249,18.4241,Ozow
2025-01-01,CPT02,Ecommerce Payout,0.0,7271.7,358928.9099999999,0.0,7271.7,358928.9099999999,Sales,DEP466856197,ZAR,1.0,-33.9249,18.4241,Ozow
2025-01-01,CPT02,POS Settlement,0.0,11012.38,369941.2899999999,0.0,11012.38,369941.2899999999,Sales,DEP488651826,ZAR,1.0,-33.9249,18.4241,PayFast
2025-01-01,CPT02,POS Settlement,0.0,17779.2,387720.48999999993,0.0,17779.2,387720.48999999993,Sales,DEP497516261,ZAR,1.0,-33.9249,18.4241,PayFast
2025-01-01,CPT02,Ecommerce Payout,0.0,29847.48,417567.9699999999,0.0,29847.48,417567.9699999999,Sales,DEP499050535,ZAR,1.0,-33.9249,18.4241,Zapper
2025-01-01,CPT02,POS Settlement,0.0,7221.45,424789.4199999999,0.0,7221.45,424789.4199999999,Sales,DEP517000912,ZAR,1.0,-33.9249,18.4241,FNB POS
2025-01-01,CPT02,POS Settlement,0.0,24276.2,449065.61999999994,0.0,24276.2,449065.61999999994,Sales,DEP525413011,ZAR,1.0,-33.9249,18.4241,Zapper
2025-01-01,CPT02,Ecommerce Payout,0.0,11227.66,460293.2799999999,0.0,11227.66,460293.2799999999,Sales,DEP525689472,ZAR,1.0,-33.9249,18.4241,Yoco
2025-01-01,CPT02,POS Settlement,0.0,619.88,460913.1599999999,0.0,619.88,460913.1599999999,Sales,DEP537521491,ZAR,1.0,-33.9249,18.4241,Zapper
